ChemicalName,Symptom,relationship
"1,1,1-Trichloroethane",Eye irritation/redness,hasSymptom
"1,1,1-Trichloroethane",Eye Swelling,hasSymptom
"1,1,1-Trichloroethane",Impaired Vision,hasSymptom
"1,1,1-Trichloroethane",Light Sensitivity,hasSymptom
"1,1,1-Trichloroethane",Tearing,hasSymptom
"1,1,1-Trichloroethane",Vision Loss,hasSymptom
"1,1,1-Trichloroethane",Nosal Irritation,hasSymptom
"1,1,1-Trichloroethane",Coughing/chocking,hasSymptom
"1,1,1-Trichloroethane",Mouth irritation,hasSymptom
"1,1,1-Trichloroethane",Throat irritation,hasSymptom
"1,1,1-Trichloroethane",Arrythmia,hasSymptom
"1,1,1-Trichloroethane",Bradycardia,hasSymptom
"1,1,1-Trichloroethane",Chest pain,hasSymptom
"1,1,1-Trichloroethane",Hypotension/Shock,hasSymptom
"1,1,1-Trichloroethane",Hypoxia/Cyanosis,hasSymptom
"1,1,1-Trichloroethane",Tachycardia,hasSymptom
"1,1,1-Trichloroethane",Chest Discomfort,hasSymptom
"1,1,1-Trichloroethane",Congestion,hasSymptom
"1,1,1-Trichloroethane",Coughing/Chocking,hasSymptom
"1,1,1-Trichloroethane",Coughing Blood,hasSymptom
"1,1,1-Trichloroethane",Hypoxia/cyanosis,hasSymptom
"1,1,1-Trichloroethane",Irregular Breathing,hasSymptom
"1,1,1-Trichloroethane",Pulmonary Edema,hasSymptom
"1,1,1-Trichloroethane",Rapid Breathing,hasSymptom
"1,1,1-Trichloroethane",Resp burning/irritation,hasSymptom
"1,1,1-Trichloroethane",Respiratory Arrest,hasSymptom
"1,1,1-Trichloroethane",Shortness of Breathing,hasSymptom
"1,1,1-Trichloroethane",Slow Breathing,hasSymptom
"1,1,1-Trichloroethane",Wheezing,hasSymptom
"1,1,1-Trichloroethane",Abdom. Discomfort,hasSymptom
"1,1,1-Trichloroethane",Diarrhea,hasSymptom
"1,1,1-Trichloroethane",Nausea,hasSymptom
"1,1,1-Trichloroethane",Vomiting,hasSymptom
"1,1,1-Trichloroethane",Blistering,hasSymptom
"1,1,1-Trichloroethane",itching,hasSymptom
"1,1,1-Trichloroethane",Peeling/exfoliation,hasSymptom
"1,1,1-Trichloroethane",Rash,hasSymptom
"1,1,1-Trichloroethane",Skin burns/burning,hasSymptom
"1,1,1-Trichloroethane",Skin redness,hasSymptom
"1,1,1-Trichloroethane",Skin sweling,hasSymptom
"1,1,2,2-Tetrachloroethane",Chilles,hasSymptom
"1,1,2,2-Tetrachloroethane",High Body Temp,hasSymptom
"1,1,2,2-Tetrachloroethane",Low Body Temp,hasSymptom
"1,1,2,2-Tetrachloroethane",Shivering,hasSymptom
"1,1,2,2-Tetrachloroethane",Agitation,hasSymptom
"1,1,2,2-Tetrachloroethane",Dizziness,hasSymptom
"1,1,2,2-Tetrachloroethane",drowsiness,hasSymptom
"1,1,2,2-Tetrachloroethane",fatigue/weakness,hasSymptom
"1,1,2,2-Tetrachloroethane",Headaches,hasSymptom
"1,1,2,2-Tetrachloroethane",Lack of coordination,hasSymptom
"1,1,2,2-Tetrachloroethane",Lower Mentatl State,hasSymptom
"1,1,2,2-Tetrachloroethane",Spasm/seizures,hasSymptom
"1,1,2,2-Tetrachloroethane",unresponsive,hasSymptom
"1,1,2,2-Tetrachloroethane",Hearing Loss,hasSymptom
"1,1,2,2-Tetrachloroethane",Tinnitus,hasSymptom
"1,1,2,2-Tetrachloroethane",Dilated Pupils,hasSymptom
"1,1,2,2-Tetrachloroethane",Eye irritation/redness,hasSymptom
"1,1,2,2-Tetrachloroethane",Eye Swelling,hasSymptom
"1,1,2,2-Tetrachloroethane",Impaired Vision,hasSymptom
"1,1,2,2-Tetrachloroethane",Light Sensitivity,hasSymptom
"1,1,2,2-Tetrachloroethane",Tearing,hasSymptom
"1,1,2,2-Tetrachloroethane",Vision Loss,hasSymptom
"1,1,2,2-Tetrachloroethane",Nosal Irritation,hasSymptom
"1,1,2,2-Tetrachloroethane",Mouth irritation,hasSymptom
"1,1,2,2-Tetrachloroethane",Throat irritation,hasSymptom
"1,1,2,2-Tetrachloroethane",Arrythmia,hasSymptom
"1,1,2,2-Tetrachloroethane",Bradycardia,hasSymptom
"1,1,2,2-Tetrachloroethane",Chest pain,hasSymptom
"1,1,2,2-Tetrachloroethane",Hypotension/Shock,hasSymptom
"1,1,2,2-Tetrachloroethane",Hypoxia/Cyanosis,hasSymptom
"1,1,2,2-Tetrachloroethane",Tachycardia,hasSymptom
"1,1,2,2-Tetrachloroethane",Chest Discomfort,hasSymptom
"1,1,2,2-Tetrachloroethane",Congestion,hasSymptom
"1,1,2,2-Tetrachloroethane",Hypoxia/cyanosis,hasSymptom
"1,1,2,2-Tetrachloroethane",Irregular Breathing,hasSymptom
"1,1,2,2-Tetrachloroethane",Pulmonary Edema,hasSymptom
"1,1,2,2-Tetrachloroethane",Rapid Breathing,hasSymptom
"1,1,2,2-Tetrachloroethane",Resp burning/irritation,hasSymptom
"1,1,2,2-Tetrachloroethane",Respiratory Arrest,hasSymptom
"1,1,2,2-Tetrachloroethane",Shortness of Breathing,hasSymptom
"1,1,2,2-Tetrachloroethane",Slow Breathing,hasSymptom
"1,1,2,2-Tetrachloroethane",Wheezing,hasSymptom
"1,1,2,2-Tetrachloroethane",Abdom. Discomfort,hasSymptom
"1,1,2,2-Tetrachloroethane",Diarrhea,hasSymptom
"1,1,2,2-Tetrachloroethane",Nausea,hasSymptom
"1,1,2,2-Tetrachloroethane",Vomiting,hasSymptom
"1,1,2,2-Tetrachloroethane",Blistering,hasSymptom
"1,1,2,2-Tetrachloroethane",itching,hasSymptom
"1,1,2,2-Tetrachloroethane",Peeling/exfoliation,hasSymptom
"1,1,2,2-Tetrachloroethane",Rash,hasSymptom
"1,1,2,2-Tetrachloroethane",Skin burns/burning,hasSymptom
"1,1,2,2-Tetrachloroethane",Skin redness,hasSymptom
"1,1,2,2-Tetrachloroethane",Skin sweling,hasSymptom
"1,1-Dichloroethane",Chilles,hasSymptom
"1,1-Dichloroethane",High Body Temp,hasSymptom
"1,1-Dichloroethane",Low Body Temp,hasSymptom
"1,1-Dichloroethane",Shivering,hasSymptom
"1,1-Dichloroethane",Agitation,hasSymptom
"1,1-Dichloroethane",Dizziness,hasSymptom
"1,1-Dichloroethane",drowsiness,hasSymptom
"1,1-Dichloroethane",fatigue/weakness,hasSymptom
"1,1-Dichloroethane",Headaches,hasSymptom
"1,1-Dichloroethane",Lower Mentatl State,hasSymptom
"1,1-Dichloroethane",Spasm/seizures,hasSymptom
"1,1-Dichloroethane",unresponsive,hasSymptom
"1,1-Dichloroethane",Hearing Loss,hasSymptom
"1,1-Dichloroethane",Tinnitus,hasSymptom
"1,1-Dichloroethane",Eye irritation/redness,hasSymptom
"1,1-Dichloroethane",Eye Swelling,hasSymptom
"1,1-Dichloroethane",Impaired Vision,hasSymptom
"1,1-Dichloroethane",Light Sensitivity,hasSymptom
"1,1-Dichloroethane",Tearing,hasSymptom
"1,1-Dichloroethane",Vision Loss,hasSymptom
"1,1-Dichloroethane",Nosal Irritation,hasSymptom
"1,1-Dichloroethane",Coughing/chocking,hasSymptom
"1,1-Dichloroethane",Mouth irritation,hasSymptom
"1,1-Dichloroethane",Throat irritation,hasSymptom
"1,1-Dichloroethane",Arrythmia,hasSymptom
"1,1-Dichloroethane",Bradycardia,hasSymptom
"1,1-Dichloroethane",Hypoxia/Cyanosis,hasSymptom
"1,1-Dichloroethane",Tachycardia,hasSymptom
"1,1-Dichloroethane",Coughing/Chocking,hasSymptom
"1,1-Dichloroethane",Hypoxia/cyanosis,hasSymptom
"1,1-Dichloroethane",Irregular Breathing,hasSymptom
"1,1-Dichloroethane",Rapid Breathing,hasSymptom
"1,1-Dichloroethane",Resp burning/irritation,hasSymptom
"1,1-Dichloroethane",Respiratory Arrest,hasSymptom
"1,1-Dichloroethane",Abdom. Discomfort,hasSymptom
"1,1-Dichloroethane",Nausea,hasSymptom
"1,1-Dichloroethane",Vomiting,hasSymptom
"1,1-Dichloroethane",Cyanosis/blue,hasSymptom
"1,1-Dichloroethane",Peeling/exfoliation,hasSymptom
"1,1-Dichloroethane",Rash,hasSymptom
"1,1-Dichloroethane",Skin burns/burning,hasSymptom
"1,1-Dichloroethane",Skin redness,hasSymptom
"1,1-Dichloroethylene",Chilles,hasSymptom
"1,1-Dichloroethylene",High Body Temp,hasSymptom
"1,1-Dichloroethylene",Low Body Temp,hasSymptom
"1,1-Dichloroethylene",Shivering,hasSymptom
"1,1-Dichloroethylene",Agitation,hasSymptom
"1,1-Dichloroethylene",Dizziness,hasSymptom
"1,1-Dichloroethylene",drowsiness,hasSymptom
"1,1-Dichloroethylene",Headaches,hasSymptom
"1,1-Dichloroethylene",Lower Mentatl State,hasSymptom
"1,1-Dichloroethylene",Slurred Speech,hasSymptom
"1,1-Dichloroethylene",unresponsive,hasSymptom
"1,1-Dichloroethylene",Hearing Loss,hasSymptom
"1,1-Dichloroethylene",Tinnitus,hasSymptom
"1,1-Dichloroethylene",Dilated Pupils,hasSymptom
"1,1-Dichloroethylene",Eye irritation/redness,hasSymptom
"1,1-Dichloroethylene",Eye Swelling,hasSymptom
"1,1-Dichloroethylene",Impaired Vision,hasSymptom
"1,1-Dichloroethylene",Light Sensitivity,hasSymptom
"1,1-Dichloroethylene",Tearing,hasSymptom
"1,1-Dichloroethylene",Vision Loss,hasSymptom
"1,1-Dichloroethylene",Nosal Irritation,hasSymptom
"1,1-Dichloroethylene",Mouth irritation,hasSymptom
"1,1-Dichloroethylene",Throat irritation,hasSymptom
"1,1-Dichloroethylene",Hypoxia/Cyanosis,hasSymptom
"1,1-Dichloroethylene",Chest Discomfort,hasSymptom
"1,1-Dichloroethylene",Congestion,hasSymptom
"1,1-Dichloroethylene",Hypoxia/cyanosis,hasSymptom
"1,1-Dichloroethylene",Irregular Breathing,hasSymptom
"1,1-Dichloroethylene",Pulmonary Edema,hasSymptom
"1,1-Dichloroethylene",Rapid Breathing,hasSymptom
"1,1-Dichloroethylene",Resp burning/irritation,hasSymptom
"1,1-Dichloroethylene",Respiratory Arrest,hasSymptom
"1,1-Dichloroethylene",Shortness of Breathing,hasSymptom
"1,1-Dichloroethylene",Slow Breathing,hasSymptom
"1,1-Dichloroethylene",Wheezing,hasSymptom
"1,1-Dichloroethylene",Abdom. Discomfort,hasSymptom
"1,1-Dichloroethylene",itching,hasSymptom
"1,1-Dichloroethylene",Skin burns/burning,hasSymptom
"1,1-Dichloroethylene",Skin redness,hasSymptom
"1,1-Dichloroethylene",Skin sweling,hasSymptom
"1,1-Difluoroethane",Chilles,hasSymptom
"1,1-Difluoroethane",High Body Temp,hasSymptom
"1,1-Difluoroethane",Low Body Temp,hasSymptom
"1,1-Difluoroethane",Shivering,hasSymptom
"1,1-Difluoroethane",Agitation,hasSymptom
"1,1-Difluoroethane",Dizziness,hasSymptom
"1,1-Difluoroethane",drowsiness,hasSymptom
"1,1-Difluoroethane",fatigue/weakness,hasSymptom
"1,1-Difluoroethane",Headaches,hasSymptom
"1,1-Difluoroethane",Lack of coordination,hasSymptom
"1,1-Difluoroethane",Lower Mentatl State,hasSymptom
"1,1-Difluoroethane",unresponsive,hasSymptom
"1,1-Difluoroethane",Tinnitus,hasSymptom
"1,1-Difluoroethane",Eye irritation/redness,hasSymptom
"1,1-Difluoroethane",Nosal Irritation,hasSymptom
"1,1-Difluoroethane",Coughing/chocking,hasSymptom
"1,1-Difluoroethane",Drooling/Salivation,hasSymptom
"1,1-Difluoroethane",Dry mouth/throat,hasSymptom
"1,1-Difluoroethane",Mouth irritation,hasSymptom
"1,1-Difluoroethane",Throat irritation,hasSymptom
"1,1-Difluoroethane",Arrythmia,hasSymptom
"1,1-Difluoroethane",Bradycardia,hasSymptom
"1,1-Difluoroethane",Hypoxia/Cyanosis,hasSymptom
"1,1-Difluoroethane",Tachycardia,hasSymptom
"1,1-Difluoroethane",Chest Discomfort,hasSymptom
"1,1-Difluoroethane",Hypoxia/cyanosis,hasSymptom
"1,1-Difluoroethane",Irregular Breathing,hasSymptom
"1,1-Difluoroethane",Pulmonary Edema,hasSymptom
"1,1-Difluoroethane",Rapid Breathing,hasSymptom
"1,1-Difluoroethane",Shortness of Breathing,hasSymptom
"1,1-Difluoroethane",Slow Breathing,hasSymptom
"1,1-Difluoroethane",Nausea,hasSymptom
"1,1-Difluoroethane",Vomiting,hasSymptom
"1,1-Difluoroethane",Frostbite,hasSymptom
"1,1-Difluoroethane",Rash,hasSymptom
"1,1-Difluoroethane",Skin burns/burning,hasSymptom
"1,1-Difluoroethane",Skin redness,hasSymptom
"1,1-Difluoroethene",Chilles,hasSymptom
"1,1-Difluoroethene",High Body Temp,hasSymptom
"1,1-Difluoroethene",Low Body Temp,hasSymptom
"1,1-Difluoroethene",Shivering,hasSymptom
"1,1-Difluoroethene",Agitation,hasSymptom
"1,1-Difluoroethene",Dizziness,hasSymptom
"1,1-Difluoroethene",drowsiness,hasSymptom
"1,1-Difluoroethene",fatigue/weakness,hasSymptom
"1,1-Difluoroethene",Headaches,hasSymptom
"1,1-Difluoroethene",Lack of coordination,hasSymptom
"1,1-Difluoroethene",Lower Mentatl State,hasSymptom
"1,1-Difluoroethene",unresponsive,hasSymptom
"1,1-Difluoroethene",Tinnitus,hasSymptom
"1,1-Difluoroethene",Eye irritation/redness,hasSymptom
"1,1-Difluoroethene",Nosal Irritation,hasSymptom
"1,1-Difluoroethene",Coughing/chocking,hasSymptom
"1,1-Difluoroethene",Mouth irritation,hasSymptom
"1,1-Difluoroethene",Throat irritation,hasSymptom
"1,1-Difluoroethene",Arrythmia,hasSymptom
"1,1-Difluoroethene",Bradycardia,hasSymptom
"1,1-Difluoroethene",Hypoxia/Cyanosis,hasSymptom
"1,1-Difluoroethene",Tachycardia,hasSymptom
"1,1-Difluoroethene",Chest Discomfort,hasSymptom
"1,1-Difluoroethene",Coughing/Chocking,hasSymptom
"1,1-Difluoroethene",Hypoxia/cyanosis,hasSymptom
"1,1-Difluoroethene",Irregular Breathing,hasSymptom
"1,1-Difluoroethene",Pulmonary Edema,hasSymptom
"1,1-Difluoroethene",Rapid Breathing,hasSymptom
"1,1-Difluoroethene",Resp burning/irritation,hasSymptom
"1,1-Difluoroethene",Shortness of Breathing,hasSymptom
"1,1-Difluoroethene",Slow Breathing,hasSymptom
"1,1-Difluoroethene",Wheezing,hasSymptom
"1,1-Difluoroethene",Nausea,hasSymptom
"1,1-Difluoroethene",Vomiting,hasSymptom
"1,1-Difluoroethene",Frostbite,hasSymptom
"1,1-Difluoroethene",itching,hasSymptom
"1,1-Difluoroethene",Rash,hasSymptom
"1,1-Difluoroethene",Skin burns/burning,hasSymptom
"1,1-Difluoroethene",Skin redness,hasSymptom
"1,1-Difluoroethene",Skin sweling,hasSymptom
"1,1-Dimethylhydrazine",High Body Temp,hasSymptom
"1,1-Dimethylhydrazine",Agitation,hasSymptom
"1,1-Dimethylhydrazine",Dizziness,hasSymptom
"1,1-Dimethylhydrazine",drowsiness,hasSymptom
"1,1-Dimethylhydrazine",fatigue/weakness,hasSymptom
"1,1-Dimethylhydrazine",Headaches,hasSymptom
"1,1-Dimethylhydrazine",Lower Mentatl State,hasSymptom
"1,1-Dimethylhydrazine",Spasm/seizures,hasSymptom
"1,1-Dimethylhydrazine",unresponsive,hasSymptom
"1,1-Dimethylhydrazine",Hearing Loss,hasSymptom
"1,1-Dimethylhydrazine",Tinnitus,hasSymptom
"1,1-Dimethylhydrazine",Eye irritation/redness,hasSymptom
"1,1-Dimethylhydrazine",Eye Swelling,hasSymptom
"1,1-Dimethylhydrazine",Impaired Vision,hasSymptom
"1,1-Dimethylhydrazine",Light Sensitivity,hasSymptom
"1,1-Dimethylhydrazine",Tearing,hasSymptom
"1,1-Dimethylhydrazine",Vision Loss,hasSymptom
"1,1-Dimethylhydrazine",Nosal Irritation,hasSymptom
"1,1-Dimethylhydrazine",Drooling/Salivation,hasSymptom
"1,1-Dimethylhydrazine",Mouth irritation,hasSymptom
"1,1-Dimethylhydrazine",Throat irritation,hasSymptom
"1,1-Dimethylhydrazine",Arrythmia,hasSymptom
"1,1-Dimethylhydrazine",Bradycardia,hasSymptom
"1,1-Dimethylhydrazine",Hypotension/Shock,hasSymptom
"1,1-Dimethylhydrazine",Hypoxia/Cyanosis,hasSymptom
"1,1-Dimethylhydrazine",Tachycardia,hasSymptom
"1,1-Dimethylhydrazine",Hypoxia/cyanosis,hasSymptom
"1,1-Dimethylhydrazine",Irregular Breathing,hasSymptom
"1,1-Dimethylhydrazine",Pulmonary Edema,hasSymptom
"1,1-Dimethylhydrazine",Rapid Breathing,hasSymptom
"1,1-Dimethylhydrazine",Resp burning/irritation,hasSymptom
"1,1-Dimethylhydrazine",Shortness of Breathing,hasSymptom
"1,1-Dimethylhydrazine",Slow Breathing,hasSymptom
"1,1-Dimethylhydrazine",Wheezing,hasSymptom
"1,1-Dimethylhydrazine",Diarrhea,hasSymptom
"1,1-Dimethylhydrazine",Nausea,hasSymptom
"1,1-Dimethylhydrazine",Urinary incontinence,hasSymptom
"1,1-Dimethylhydrazine","Urination, bloody",hasSymptom
"1,1-Dimethylhydrazine",Vomiting,hasSymptom
"1,1-Dimethylhydrazine",Cyanosis/blue,hasSymptom
"1,1-Dimethylhydrazine",itching,hasSymptom
"1,1-Dimethylhydrazine",Skin burns/burning,hasSymptom
"1,1-Dimethylhydrazine",Skin redness,hasSymptom
"1,1-Dimethylhydrazine",Skin sweling,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Chilles,hasSymptom
"1,2,4,5-Tetrachlorobenzene",High Body Temp,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Low Body Temp,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Shivering,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Agitation,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Dizziness,hasSymptom
"1,2,4,5-Tetrachlorobenzene",fatigue/weakness,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Headaches,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Lower Mentatl State,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Numbness/tingling,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Spasm/seizures,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Hearing Loss,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Tinnitus,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Eye irritation/redness,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Nosal Irritation,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Coughing/chocking,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Mouth irritation,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Throat irritation,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Chest pain,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Coughing/Chocking,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Nausea,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Vomiting,hasSymptom
"1,2,4,5-Tetrachlorobenzene",itching,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Numbness/tingling,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Rash,hasSymptom
"1,2,4,5-Tetrachlorobenzene",Skin redness,hasSymptom
"1,2-Dibromo-3-chloropropane",Chilles,hasSymptom
"1,2-Dibromo-3-chloropropane",High Body Temp,hasSymptom
"1,2-Dibromo-3-chloropropane",Low Body Temp,hasSymptom
"1,2-Dibromo-3-chloropropane",Shivering,hasSymptom
"1,2-Dibromo-3-chloropropane",Lower Mentatl State,hasSymptom
"1,2-Dibromo-3-chloropropane",Hearing Loss,hasSymptom
"1,2-Dibromo-3-chloropropane",Tinnitus,hasSymptom
"1,2-Dibromo-3-chloropropane",Eye irritation/redness,hasSymptom
"1,2-Dibromo-3-chloropropane",Nosal Irritation,hasSymptom
"1,2-Dibromo-3-chloropropane",Mouth irritation,hasSymptom
"1,2-Dibromo-3-chloropropane",Throat irritation,hasSymptom
"1,2-Dibromo-3-chloropropane",Arrythmia,hasSymptom
"1,2-Dibromo-3-chloropropane",Bradycardia,hasSymptom
"1,2-Dibromo-3-chloropropane",Chest pain,hasSymptom
"1,2-Dibromo-3-chloropropane",Hypertension,hasSymptom
"1,2-Dibromo-3-chloropropane",Hypotension/Shock,hasSymptom
"1,2-Dibromo-3-chloropropane",Hypoxia/Cyanosis,hasSymptom
"1,2-Dibromo-3-chloropropane",Tachycardia,hasSymptom
"1,2-Dibromo-3-chloropropane",Chest Discomfort,hasSymptom
"1,2-Dibromo-3-chloropropane",Congestion,hasSymptom
"1,2-Dibromo-3-chloropropane",Coughing/Chocking,hasSymptom
"1,2-Dibromo-3-chloropropane",Coughing Blood,hasSymptom
"1,2-Dibromo-3-chloropropane",Hypoxia/cyanosis,hasSymptom
"1,2-Dibromo-3-chloropropane",Irregular Breathing,hasSymptom
"1,2-Dibromo-3-chloropropane",Pulmonary Edema,hasSymptom
"1,2-Dibromo-3-chloropropane",Rapid Breathing,hasSymptom
"1,2-Dibromo-3-chloropropane",Resp burning/irritation,hasSymptom
"1,2-Dibromo-3-chloropropane",Respiratory Arrest,hasSymptom
"1,2-Dibromo-3-chloropropane",Shortness of Breathing,hasSymptom
"1,2-Dibromo-3-chloropropane",Slow Breathing,hasSymptom
"1,2-Dibromo-3-chloropropane",Sneezing,hasSymptom
"1,2-Dibromo-3-chloropropane",Wheezing,hasSymptom
"1,2-Dibromo-3-chloropropane",Abdom. Discomfort,hasSymptom
"1,2-Dibromo-3-chloropropane",Abdom. Distension,hasSymptom
"1,2-Dibromo-3-chloropropane",Diarrhea,hasSymptom
"1,2-Dibromo-3-chloropropane",Nausea,hasSymptom
"1,2-Dibromo-3-chloropropane",Urinary incontinence,hasSymptom
"1,2-Dibromo-3-chloropropane",Urinary pain/burning,hasSymptom
"1,2-Dibromo-3-chloropropane","Urination, bloody",hasSymptom
"1,2-Dibromo-3-chloropropane",Vomiting,hasSymptom
"1,2-Dibromo-3-chloropropane",Vomiting Blood,hasSymptom
"1,2-Dibromo-3-chloropropane",Blistering,hasSymptom
"1,2-Dibromo-3-chloropropane",Cyanosis/blue,hasSymptom
"1,2-Dibromo-3-chloropropane",Dry skin,hasSymptom
"1,2-Dibromo-3-chloropropane",Frostbite,hasSymptom
"1,2-Dibromo-3-chloropropane",itching,hasSymptom
"1,2-Dibromo-3-chloropropane",Jaundice/yellow,hasSymptom
"1,2-Dibromo-3-chloropropane",Numbness/tingling,hasSymptom
"1,2-Dibromo-3-chloropropane",Pale,hasSymptom
"1,2-Dibromo-3-chloropropane",Peeling/exfoliation,hasSymptom
"1,2-Dibromo-3-chloropropane",Rash,hasSymptom
"1,2-Dibromo-3-chloropropane",Skin burns/burning,hasSymptom
"1,2-Dibromo-3-chloropropane",Skin redness,hasSymptom
"1,2-Dibromo-3-chloropropane",Skin sweling,hasSymptom
"1,2-Dibromo-3-chloropropane",Sweating,hasSymptom
"1,2-Dichloroethane",Chilles,hasSymptom
"1,2-Dichloroethane",High Body Temp,hasSymptom
"1,2-Dichloroethane",Low Body Temp,hasSymptom
"1,2-Dichloroethane",Shivering,hasSymptom
"1,2-Dichloroethane",Agitation,hasSymptom
"1,2-Dichloroethane",Dizziness,hasSymptom
"1,2-Dichloroethane",drowsiness,hasSymptom
"1,2-Dichloroethane",fatigue/weakness,hasSymptom
"1,2-Dichloroethane",Headaches,hasSymptom
"1,2-Dichloroethane",Lower Mentatl State,hasSymptom
"1,2-Dichloroethane",Spasm/seizures,hasSymptom
